PM,global_season_score,count
2009NJN,0.0,15
2009NOH,0.0,15
2008NYK,0.0,15
2004DAL,0.0,14
2002WAS,0.0,14
2004PHI,0.0,14
2007MIN,0.0,14
2002SAC,0.4782608695652174,14
2013UTA,0.0,14
2002NYK,0.0,14
2000IND,0.0,14
2012CHI,0.0,14
1998UTA,0.6521739130434783,14
2002MIL,0.0,14
2012DET,0.0,14
2007PHO,0.34782608695652173,14
2002HOU,0.0,14
2007LAL,0.0,14
2008MIL,0.0,14
2004SEA,0.0,14
2008POR,0.0,14
1999NYK,0.34782608695652173,14
2001UTA,0.0,14
2001SEA,0.0,14
2007CHI,0.21739130434782608,14
2002UTA,0.0,14
2000ATL,0.0,14
1998HOU,0.0,14
2000SAC,0.0,14
2003SAC,0.34782608695652173,14
1999ATL,0.2608695652173913,14
2003PHO,0.0,14
2010DET,0.0,14
2000POR,0.391304347826087,14
2015CHI,0.30434782608695654,14
2009IND,0.0,14
2003MIN,0.0,14
2005MIN,0.0,14
2003MIA,0.0,14
2003LAL,0.21739130434782608,14
1999IND,0.0,14
1999DAL,0.0,14
2010ATL,0.30434782608695654,14
2001SAC,0.30434782608695654,14
1999UTA,0.30434782608695654,14
2003CLE,0.0,14
1999SAS,0.0,14
1998IND,0.0,14
1998LAL,0.391304347826087,13
1997CLE,0.0,13
2000MIN,0.0,13
2009PHI,0.0,13
2012PHO,0.0,13
2003UTA,0.0,13
2004SAC,0.2608695652173913,13
1997MIN,0.0,13
1999GSW,0.0,13
2000UTA,0.34782608695652173,13
2010DEN,0.0,13
1997NYK,0.30434782608695654,13
2011DET,0.0,13
2008WAS,0.0,13
2003NYK,0.0,13
2010LAL,1.0,13
2010ORL,0.43478260869565216,12
20223TM,0.0,11
20043TM,0.0,7
20113TM,0.0,7
20153TM,0.0,7
19973TM,0.0,7
20213TM,0.0,7
20243TM,0.0,7
20193TM,0.0,6
20083TM,0.0,5
20133TM,0.0,4
20183TM,0.0,4
20103TM,0.0,4
20253TM,0.0,4
20063TM,0.0,3
20173TM,0.0,3
20093TM,0.0,3
20053TM,0.0,3
20143TM,0.0,3
20013TM,0.0,2
19983TM,0.0,2
20163TM,0.0,2
20203TM,0.0,2
20224TM,0.0,1
20123TM,0.0,1
19993TM,0.0,1
20033TM,0.0,1
20003TM,0.0,1
20184TM,0.0,1
20085TM,0.0,1
